id,codigo,nome,capacidade_instalada,latitude,longitude,data_inicio_operacao,data_inicio_simulacao,subsistema_geografico,subsistema_eletrico
479,CEJAI,JANDAIA_I,24.0,-4.4129,-37.8761,2020-05-30,2020-06-22,NE,NE
480,CEJAN,JANDAIA,27.0,-4.4096,-37.8171,2020-05-30,2020-06-22,NE,NE
481,CESCL,SÃO_CLEMENTE,21.0,-4.4088,-37.8442,2020-05-30,2020-06-22,NE,NE
482,RNEVS2,VILA_SERGIPE_II,37.8,-5.1601,-37.0639,2020-05-30,2020-06-22,NE,NE
483,CENSF,NOSSA_SENHORA_DE_FÁT,29.1,-4.4339,-37.8697,2020-06-02,2020-06-22,NE,NE
484,CESJN,SÃO_JANUÁRIO,21.0,-4.4914,-37.8025,2020-06-02,2020-06-22,NE,NE
485,BAEJ21,VENTOS_DE_SAO_JANUAR,50.4,-10.4267,-40.5056,2020-06-03,2020-06-22,NE,NE
486,RNEVS3,VILA_SERGIPE_III,16.8,-5.1765,-37.081,2020-06-09,2020-06-22,NE,NE
487,RNEPI1,VILA_PIAUI_I,37.8,-5.0971,-37.1047,2020-07-17,2020-10-14,NE,NE
488,BAEJ22,VENTOS_DE_SAO_JANUAR,50.4,-10.4736,-40.5239,2020-07-31,2020-10-14,NE,NE
489,RNEPI2,VILA_PIAUI_II,37.8,-5.0982,-37.0795,2020-08-27,2020-10-14,NE,NE
490,BASJ04,VENTOS_DE_SAO_JANUAR,29.4,-10.3869,-40.4589,2020-09-15,2020-10-14,NE,NE
491,BASJ14,VENTOS_DE_SAO_JANUAR,42.0,-10.3678,-40.4422,2020-09-16,2020-10-14,NE,NE
492,BASJ13,VENTOS_DE_SAO_JANUAR,42.0,-10.3448,-40.4378,2020-09-17,2020-10-14,NE,NE
493,RNEMA3,VILA_MARANHAO_III,31.95,-5.1293,-37.0052,2020-09-29,2021-01-18,NE,NE
494,BASJ01,VENTOS_DE_SAO_JANUAR,33.6,-10.3227,-40.4367,2020-10-02,2021-01-18,NE,NE
495,RNESF1,SAO_FERNANDO_1,76.23,-5.1769,-36.0113,2020-10-03,2021-01-18,NE,NE
496,BASJ03,VENTOS_DE_SAO_JANUAR,33.6,-10.3105,-40.4404,2020-11-06,2021-01-18,NE,NE
497,PISA02,VENTOS_DE_SANTA_ANGE,31.5,-8.5442,-41.5751,2020-11-12,2021-01-18,NE,NE
498,PISA03,VENTOS_DE_SANTA_ANGE,31.5,-8.5764,-41.5778,2020-11-12,2021-01-18,NE,NE
499,PISA04,VENTOS_DE_SANTA_ANGE,31.5,-8.6002,-41.5908,2020-11-12,2021-01-18,NE,NE
500,PIVSA1,VENTOS_DE_SANTA_ANGE,31.5,-8.5198,-41.5584,2020-11-12,2021-01-18,NE,NE
501,BAESEV,SERRA_DO_VENTO,31.185,-9.816,-41.0389,2020-11-19,2021-01-18,NE,NE
502,BASJ06,VENTOS_DE_SAO_JANUAR,37.8,-10.4109,-40.4664,2020-11-30,2021-01-18,NE,NE
503,BASJ05,VENTOS_DE_SAO_JANUAR,42.0,-10.2898,-40.4341,2020-12-03,2021-01-18,NE,NE
504,BAESEF,SERRA_DO_FOGO,31.185,-9.8051,-41.0227,2020-12-15,2021-01-18,NE,NE
505,RNESF2,SAO_FERNANDO_2,72.765,-5.1801,-36.0287,2020-12-15,2021-01-18,NE,NE
506,RNECEA,VILA_CEARA_I,31.95,-5.1009,-37.0151,2020-12-19,2021-01-18,NE,NE
507,BAECNA,CASA_NOVA_A,27.0,-9.2602,-41.0168,2020-12-24,2021-01-18,NE,NE
508,RNESF3,SAO_FERNANDO_3,24.255,-5.1529,-36.0422,2020-12-25,2021-01-18,NE,NE
509,PISA05,VENTOS_DE_SANTA_ANGE,31.5,-8.4625,-41.4451,2020-12-29,2021-01-18,NE,NE
510,PISA06,VENTOS_DE_SANTA_ANGE,31.5,-8.4891,-41.4516,2020-12-30,2021-01-18,NE,NE
511,PISA07,VENTOS_DE_SANTA_ANGE,25.2,-8.5306,-41.4805,2020-12-30,2021-01-18,NE,NE
512,BAEUMC,UMBURANA_DE_CHEIRO,31.185,-9.8355,-41.0427,2020-12-31,2021-08-11,NE,NE
513,PISA08,VENTOS_DE_SANTA_ANGE,31.5,-8.5608,-41.4984,2020-12-31,2021-01-18,NE,NE
514,PISA09,VENTOS_DE_SANTA_ANGE,44.1,-8.5952,-41.4795,2020-12-31,2021-01-18,NE,NE
515,PISA10,VENTOS_DE_SANTA_ANGE,40.95,-8.6329,-41.4971,2020-12-31,2021-01-18,NE,NE
516,PISA11,VENTOS_DE_SANTA_ANGE,44.1,-8.6671,-41.5098,2020-12-31,2021-01-18,NE,NE
517,PISA14,VENTOS_DE_SANTA_ANGE,42.6,-8.7088,-41.5181,2020-12-31,2021-01-18,NE,NE
518,BASJ11,VENTOS_DE_SAO_JANUAR,42.0,-10.4409,-41.5723,2021-01-06,2021-01-18,NE,NE
519,CEESR1,SERROTE_I,25.2,-4.5358,-37.6953,2021-01-13,2021-03-03,NE,NE
520,CEESR2,SERROTE_II,25.2,-3.2882,-39.3328,2021-01-13,2021-03-03,NE,NE
521,CEESR3,SERROTE_III,21.0,-3.3044,-39.3521,2021-01-13,2021-03-03,NE,NE
522,CEESR4,SERROTE_IV,16.8,-3.3077,-39.3903,2021-01-13,2021-03-03,NE,NE
523,CEESR5,SERROTE_V,29.4,-3.3174,-39.3695,2021-01-27,2021-03-03,NE,NE
524,PISA21,VENTOS_DE_SANTA_ANGE,30.0,-8.8066,-41.4651,2021-01-28,2021-03-03,NE,NE
525,RNEMA1,VILA_MARANHAO_I,31.95,-5.076,-36.993,2021-02-11,2021-03-03,NE,NE
526,PISA20,VENTOS_DE_SANTA_ANGE,30.0,-8.7818,-41.452,2021-02-13,2021-10-01,NE,NE
527,BASJ10,VENTOS_DE_SAO_JANUAR,42.0,-10.2651,-40.4306,2021-02-19,2021-03-03,NE,NE
528,BAEC09,CAMPO_LARGO_IX,25.2,-10.4626,-41.394,2021-02-23,2021-03-03,NE,NE
529,CEESR6,SERROTE_VI,29.4,-3.2275,-39.3729,2021-02-27,2021-04-13,NE,NE
530,BAEC10,CAMPO_LARGO_X,33.6,-10.5067,-41.4868,2021-03-05,2021-04-13,NE,NE
531,PISA18,VENTOS_DE_SANTA_ANGE,31.5,-8.7389,-41.3999,2021-03-13,2021-04-13,NE,NE
532,PISA12,VENTOS_DE_SANTA_ANGE,30.0,-8.7616,-41.4303,2021-03-19,2021-04-13,NE,NE
533,PISA13,VENTOS_DE_SANTA_ANGE,28.35,-8.7664,-41.4087,2021-03-19,2021-04-13,NE,NE
534,CEESR8,SERROTE_VIII,29.4,-3.338,-39.3294,2021-03-23,2021-04-13,NE,NE
535,PISA15,VENTOS_DE_SANTA_ANGE,44.1,-8.722,-41.4741,2021-03-27,2021-04-13,NE,NE
536,RNESF4,SAO_FERNANDO_4,83.16,-5.1288,-36.015,2021-03-30,2021-04-13,NE,NE
537,BAEC14,CAMPO_LARGO_XIV,21.0,-10.4468,-41.5008,2021-03-31,2021-07-07,NE,NE
538,RNEMA2,VILA_MARANHAO_II,31.95,-5.052,-36.9945,2021-03-31,2021-07-07,NE,NE
539,BAEC17,CAMPO_LARGO_XVII,29.4,-10.463,-41.5141,2021-04-07,2021-07-07,NE,NE
540,BAEIM2,INHAMBU_2,16.45,-14.4514,-42.6505,2021-04-07,2021-07-07,NE,NE
541,PISA17,VENTOS_DE_SANTA_ANGE,47.25,-8.7159,-41.4209,2021-04-07,2021-04-13,NE,NE
542,PISA19,VENTOS_DE_SANTA_ANGE,30.0,-8.7462,-41.4716,2021-04-07,2021-04-13,NE,NE
543,BAECO2,CORRUPIAO_2,18.8,-14.4154,-42.6411,2021-04-09,2021-07-07,NE,NE
544,CEESR7,SERROTE_VII,29.4,-3.3157,-39.3244,2021-04-09,2021-07-07,NE,NE
545,RNEP31,POTIGUAR_B_31,45.045,-5.2696,-37.1139,2021-04-20,2021-07-07,NE,NE
546,BAEARZ,ARARINHA_AZUL,21.15,-14.4127,-42.6498,2021-04-27,2021-07-07,NE,NE
547,RNEP32,POTIGUAR_B_32,48.51,-5.1837,-36.9827,2021-04-30,2021-07-07,NE,NE
548,BAEC08,CAMPO_LARGO_VIII,33.6,-10.46,-41.3932,2021-05-04,2021-07-07,NE,NE
549,BAEB0B,SERRA_DA_BABILONIA_B,30.6,-11.1266,-41.3264,2021-05-15,2021-07-07,NE,NE
550,BAEB0A,SERRA_DA_BABILONIA_A,21.2,-11.0783,-41.2983,2021-05-18,2021-07-07,NE,NE
551,PISA16,VENTOS_DE_SANTA_ANGE,31.5,-8.7326,-41.559,2021-05-19,2021-08-25,NE,NE
552,BAEC19,CAMPO_LARGO_XIX,33.6,-10.4409,-41.5723,2021-05-21,2021-07-07,NE,NE
553,RNEP33,POTIGUAR_B_33,58.905,-5.2682,-37.154,2021-06-02,2021-07-26,NE,NE
554,RNEMT1,VENTOS_DE_VILA_MATO_,58.905,-5.1722,-37.1082,2021-06-11,2021-07-26,NE,NE
555,BAEB0C,SERRA_DA_BABILONIA_C,26.5,-11.1328,-41.3286,2021-06-19,2021-07-26,NE,NE
556,BAEC22,CAMPO_LARGO_XXII,33.6,-10.5094,-41.6117,2021-06-25,2021-11-05,NE,NE
557,BAEC12,CAMPO_LARGO_XII,54.6,-10.4054,-41.4486,2021-06-25,2021-07-26,NE,NE
558,BAEC20,CAMPO_LARGO_XX,37.8,-10.4805,-41.5769,2021-06-25,2021-07-26,NE,NE
559,RNECDU,COSTA_DAS_DUNAS,28.4,-5.2334,-35.4885,2021-06-25,2021-07-26,NE,NE
560,RNETS2,TERRA_SANTA_II,31.95,-5.2298,-36.1029,2021-06-29,2021-08-25,NE,NE
561,BAEB0D,SERRA_DA_BABILONIA_D,30.6,-11.1427,-41.3316,2021-07-06,2021-08-25,NE,NE
562,RNEAV2,AVENTURA_II,21.0,-5.3211,-35.7351,2021-07-08,2021-07-26,NE,NE
563,RNEAV3,AVENTURA_III,25.2,-5.3288,-35.7594,2021-07-08,2021-07-26,NE,NE
564,RNEAV4,AVENTURA_IV,29.4,-5.3421,-35.7786,2021-07-08,2021-07-26,NE,NE
565,RNEAV5,AVENTURA_V,29.4,-5.3485,-35.7951,2021-07-08,2021-07-26,NE,NE
566,RNEM10,VENTOS_DE_SANTA_MART,63.0,-5.8504,-35.9419,2021-07-14,2021-08-11,NE,NE
567,RNEFIB,FIGUEIRA_BRANCA,10.65,-5.2424,-35.4615,2021-07-17,2021-08-11,NE,NE
568,BAEB0E,SERRA_DA_BABILONIA_E,26.5,-11.1427,-41.3316,2021-07-24,2021-08-11,NE,NE
569,PBCH7,CHAFARIZ_7,34.65,-6.924,-36.8607,2021-07-29,2021-08-12,NE,NE
570,RNEM09,VENTOS_DE_SANTA_MART,63.0,-5.8192,-35.9228,2021-07-29,2021-08-11,NE,NE
571,BAEB0F,SERRA_DA_BABILONIA_F,21.2,-11.1594,-41.3361,2021-08-03,2021-08-11,NE,NE
572,RNECM1,UEE_CMR_CUMARU_01,42.0,-5.1525,-35.7644,2021-08-04,2021-08-11,NE,NE
573,RNEGAM,GAMELEIRA,17.75,-5.2444,-35.4591,2021-08-06,2021-08-18,NE,NE
574,PBCH1,CHAFARIZ_1,34.65,-6.9729,-36.8793,2021-08-13,2021-08-24,NE,NE
575,RNECM2,CUMARU_II,42.0,-5.1813,-35.7806,2021-08-13,2021-08-24,NE,NE
576,RNETS1,TERRA_SANTA_I,60.35,-5.2569,-36.0575,2021-08-14,2021-08-24,NE,NE
577,RNEM11,VENTOS_DE_SANTA_MART,58.8,-5.7831,-35.905,2021-08-19,2021-08-24,NE,NE
578,PBCH6,CHAFARIZ_6,31.185,-6.9786,-36.8539,2021-08-23,2021-10-01,NE,NE
579,RNEM13,VENTOS_DE_SANTA_MART,63.0,-5.7111,-35.8958,2021-08-31,2021-10-01,NE,NE
580,BAEC11,CAMPO_LARGO_XI,16.8,-10.4027,-41.4464,2021-09-02,2021-10-01,NE,NE
581,BAEC13,CAMPO_LARGO_XIII,42.0,-10.4025,-41.4935,2021-09-02,2021-10-01,NE,NE
582,RNTEB1,TODA_ENERGIA_DO_BRAS,31.095,-5.0922,-37.1055,2021-09-07,2021-10-01,NE,NE
583,PBCH2,CHAFARIZ_2,34.65,-6.9969,-36.894,2021-09-15,2021-10-01,NE,NE
584,RNEFTO,FAROL_DE_TOUROS,24.85,-5.255,-35.5018,2021-09-16,2021-10-01,NE,NE
585,RNEM12,VENTOS_DE_SANTA_MART,58.8,-5.7592,-35.8861,2021-09-17,2021-10-01,NE,NE
586,PBCH3,CHAFARIZ_3,34.65,-7.0016,-36.8983,2021-09-25,2021-10-01,NE,NE
587,PBCH5,CHAFARIZ_5,34.65,-7.0039,-36.9131,2021-09-25,2021-10-01,NE,NE
588,RNEM01,VENTOS_DE_SANTA_MART,63.0,-5.73,-35.9053,2021-10-14,2021-11-05,NE,NE
589,RNECM3,CUMARU_III,42.0,-5.1319,-35.8098,2021-10-16,2021-11-05,NE,NE
590,RNECM4,CUMARU_IV,42.0,-5.16,-35.7833,2021-10-16,2021-11-05,NE,NE
591,RNECM5,CUMARU_V,37.8,-5.1458,-35.7989,2021-10-16,2021-11-05,NE,NE
592,CEESM5,SERRA_DO_MATO_V,21.0,-3.2322,-39.402,2021-10-21,2021-11-05,NE,NE
593,PBCH4,CHAFARIZ_4,34.65,-7.0337,-36.9355,2021-10-21,2021-11-05,NE,NE
594,CEESM1,SERRA_DO_MATO_I,21.0,-3.2707,-39.3963,2021-10-28,2021-11-05,NE,NE
595,CEESM2,SERRA_DO_MATO_II,21.0,-3.276,-39.3513,2021-10-29,2021-12-02,NE,NE
596,CEESM3,SERRA_DO_MATO_III,21.0,-3.2625,-39.3482,2021-10-29,2021-12-02,NE,NE
597,RNEFG2,FILGUEIRA_II,28.4,-5.0127,-37.0396,2021-11-04,2021-12-02,NE,NE
598,PBVA1,VENTOS_DE_ARAPUA_1,24.255,-7.0482,-36.9524,2021-11-11,2021-12-02,NE,NE
599,PBVA2,VENTOS_DE_ARAPUA_2,34.65,-7.0292,-36.9624,2021-11-11,2021-12-02,NE,NE
600,PBVA3,VENTOS_DE_ARAPUA_3,13.86,-7.0508,-36.9679,2021-11-11,2021-12-02,NE,NE
601,BAES17,VENTOS_DE_SANTA_ESPE,42.0,-11.508,-41.2946,2021-11-13,2021-12-02,NE,NE
602,BAES21,VENTOS_DE_SANTA_ESPE,46.2,-11.5501,-41.2845,2021-11-13,2021-12-02,NE,NE
603,BAES26,VENTOS_DE_SANTA_ESPE,46.2,-11.5316,-41.3209,2021-11-13,2021-12-02,NE,NE
604,CEESM6,SERRA_DO_MATO_VI,16.8,-3.2456,-39.4073,2021-11-18,2021-12-02,NE,NE
605,RNEM14,VENTOS_DE_SANTA_MART,63.0,-5.715,-35.8828,2021-11-19,2021-12-02,NE,NE
606,RNEEP1,VILA_ESPIRITO_SANTO_,33.6,-5.1869,-37.1132,2021-11-26,2021-12-02,NE,NE
607,RNESR2,SANTA_ROSA_E_MUNDO_N,29.4,-5.8835,-36.1975,2021-12-01,2021-12-28,NE,NE
608,BAEB14,VENTOS_DA_BAHIA_XIV,33.0,-12.0585,-41.4394,2021-12-03,2021-12-28,NE,NE
609,PBLG4,LAGOA_4,20.79,-6.8837,-36.8429,2021-12-03,2021-12-28,NE,NE
610,BAETE3,TEIU_3,23.5,-14.4088,-42.6486,2021-12-04,2022-01-27,NE,NE
611,CEESM4,SERRA_DO_MATO_IV,21.0,-3.2201,-39.3962,2021-12-04,2021-12-28,NE,NE
612,PIEQN1,AURA_QUEIMADA_NOVA_0,32.2,-8.6838,-41.5891,2021-12-08,2021-12-28,NE,NE
613,PIEQN2,AURA_QUEIMADA_NOVA_0,50.6,-8.6288,-41.595,2021-12-08,2021-12-28,NE,NE
614,BAEB13,VENTOS_DA_BAHIA_XIII,49.5,-12.1461,-41.494,2021-12-15,2021-12-28,NE,NE
615,PBLG3,LAGOA_3,34.65,-6.8712,-36.8262,2021-12-18,2021-12-28,NE,NE
616,RNESR5,SANTA_ROSA_E_MUNDO_N,25.2,-5.9004,-36.2055,2021-12-18,2021-12-28,NE,NE
617,PEEPF2,PAU_FERRO_II,77.0,-9.0365,-38.0999,2021-12-22,2022-01-27,NE,NE
618,PEETA2,TACAICO_II,77.0,-9.0167,-38.0747,2021-12-22,2022-01-27,NE,NE
619,RNEJ23,VENTOS_DE_SAO_JANUAR,58.8,-5.8908,-35.9608,2021-12-24,2021-12-28,NE,NE
620,BAES22,VENTOS_DE_SANTA_ESPE,46.2,-11.5293,-41.2728,2021-12-30,2022-01-27,NE,NE
621,BAES25,VENTOS_DE_SANTA_ESPE,25.2,-11.5941,-41.3396,2021-12-31,2022-01-27,NE,NE
622,PBCN2,CANOAS_2,34.65,-6.8825,-36.7914,2021-12-31,2022-01-27,NE,NE
623,PBCN3,CANOAS_3,34.65,-6.8721,-36.7594,2021-12-31,2022-01-27,NE,NE
624,PBCN4,CANOAS_4,34.65,-6.8436,-36.7355,2021-12-31,2022-01-27,NE,NE
625,RNEEP5,VILA_ESPIRITO_SANTO_,37.8,-5.2347,-37.1342,2021-12-31,2022-01-27,NE,NE
626,RNESR4,SANTA_ROSA_E_MUNDO_N,33.6,-5.8744,-36.2667,2022-01-01,2022-01-27,NE,NE
627,RNESR3,SANTA_ROSA_E_MUNDO_N,33.6,-5.8537,-36.2604,2022-01-05,2022-01-27,NE,NE
628,RNEEP3,VILA_ESPIRITO_SANTO_,37.8,-5.1994,-37.1536,2022-01-11,2022-02-23,NE,NE
629,BAES15,VENTOS_DE_SANTA_ESPE,46.2,-11.5583,-41.3017,2022-01-13,2022-02-23,NE,NE
630,BAES16,VENTOS_DE_SANTA_ESPE,42.0,-11.5126,-41.2787,2022-01-14,2022-02-23,NE,NE
631,RNEFG1,FILGUEIRA_I,39.05,-5.0207,-36.9989,2022-01-22,2022-02-23,NE,NE
632,BAES13,VENTOS_DE_SANTA_ESPE,33.6,-11.5834,-41.3568,2022-01-27,2022-02-23,NE,NE
633,BAEFDS,FOLHA_DE_SERRA,21.0,-14.55,-42.5806,2022-02-02,2022-03-10,NE,NE
634,BAEJCE,JACARANDA_DO_CERRADO,21.0,-14.5562,-42.582,2022-02-02,2022-03-10,NE,NE
635,BAEB23,VENTOS_DA_BAHIA_XXII,49.5,-12.0752,-41.4953,2022-02-02,2022-02-23,NE,NE
636,BAES08,VENTOS_DE_SANTA_ESPE,25.2,-11.587,-41.3751,2022-02-02,2022-02-23,NE,NE
637,BAEB27,VENTOS_DA_BAHIA_XXVI,49.5,-12.0862,-41.469,2022-02-05,2022-02-23,NE,NE
638,RNESR1,SANTA_ROSA_E_MUNDO_N,33.6,-5.9132,-36.1539,2022-02-08,2022-02-23,NE,NE
639,BAEABL,ABIL,23.7,-14.2778,-42.5435,2022-02-10,2022-03-10,NE,NE
640,BAEJAB,JABUTICABA,9.0,-14.3257,-42.5719,2022-02-10,2022-03-10,NE,NE
641,BAETAB,TABUA,15.0,-14.3159,-42.5721,2022-02-10,2022-03-10,NE,NE
642,BAEVAQ,VAQUETA,23.4,-14.2596,-42.5543,2022-02-10,2022-03-10,NE,NE
643,RNEEP2,VILA_ESPIRITO_SANTO_,37.8,-5.1877,-37.1357,2022-02-18,2022-03-10,NE,NE
644,RNEAL2,VILA_ALAGOAS_II,21.0,-5.1718,-37.0928,2022-02-18,2022-02-23,NE,NE
645,RNEEP4,VILA_ESPIRITO_SANTO_,37.8,-5.2251,-37.1547,2022-02-25,2022-03-10,NE,NE
646,BAEPSA,PAU_SANTO,18.9,-14.1,-42.0336,2022-03-22,2022-05-24,NE,NE
647,RNEAF1,AFONSO_BEZERRA_I,29.4,-5.32,-36.51,2022-04-30,2022-05-24,NE,NE
648,RNEAF2,AFONSO_BEZERRA_II,29.4,-5.36,-36.47,2022-04-30,2022-05-24,NE,NE
649,RNEAF3,AFONSO_BEZERRA_III,29.4,-5.41,-36.49,2022-05-03,2022-05-24,NE,NE
650,RNEAF4,AFONSO_BEZERRA_IV,16.8,-5.35,-36.47,2022-05-03,2022-05-24,NE,NE
651,RNEAG1,ANGICOS_I,25.2,-5.32,-36.49,2022-05-14,2022-05-24,NE,NE
652,RNEAG2,ANGICOS_II,29.4,-5.36,-36.5,2022-05-14,2022-05-24,NE,NE
653,BAECAC,ACACIA,16.2,-13.9156,-42.6978,2022-05-18,2022-05-24,NE,NE
654,BAESSA,SAO_SALVADOR,18.9,-13.8379,-42.6486,2022-05-18,2022-05-24,NE,NE
655,BAENGI,ANGICO,8.1,-13.8948,-42.7027,2022-05-24,2022-07-01,NE,NE
656,PIVI15,VENTOS_DE_SANTO_APOL,35.2,-7.9702,-40.5994,2022-06-04,2022-07-01,NE,NE
657,BAOI22,OITIS_22,49.5,-9.07,-41.71,2022-06-07,2023-01-05,NE,NE
658,BAETBQ,TABOQUINHA,18.9,-13.9077,-42.705,2022-06-08,2022-07-01,NE,NE
659,BAEVLZ,VELLOZIA,18.0,-14.254,-42.5491,2022-06-16,2023-01-05,NE,NE
660,PIVI16,VENTOS_DE_SANTA_ALEX,44.0,-7.9855,-40.58,2022-06-25,2022-07-26,NE,NE
661,PIBER,VENTOS_DE_SAO_BERNAR,44.0,-7.9966,-40.513,2022-07-02,2022-07-26,NE,NE
662,BATU06,TUCANO_VI,49.6,-11.2277,-38.7919,2022-07-08,2022-07-26,NE,NE
663,PIANT,VENTOS_DE_SANTO_ANTE,46.2,-8.0036,-40.5175,2022-07-14,2022-07-26,NE,NE
664,BATU07,TUCANO_VII,55.8,-11.2563,-38.8111,2022-07-21,2023-01-05,NE,NE
665,PIOI05,OITIS_5,16.5,-9.04,-41.75,2022-07-22,2022-09-19,NE,NE
666,PIOI07,UEE_OIT_OITIS_07,44.0,-9.07,-41.73,2022-07-22,2022-09-19,NE,NE
667,PIOI06,UEE_OIT_OITIS_06,49.5,-9.05,-41.74,2022-07-22,2022-08-17,NE,NE
668,BAEGEL,ANGELIM,21.6,-14.04,-42.65,2022-08-05,2022-08-17,NE,NE
669,BAB20,UEE_ARI_BARAUNAS_XX,31.185,-9.79,-41.01,2022-08-11,2022-08-17,NE,NE
670,PIVI18,VENTOS_DE_SAO_JOAO_P,30.8,-7.9886,-40.5613,2022-08-16,2022-09-19,NE,NE
671,PIOI01,UEE_OIT_OITIS_01,33.0,-9.0,-41.72,2022-08-18,2022-09-19,NE,NE
672,BAEFAC,FACHEIO,16.2,-13.99,-42.69,2022-08-23,2022-09-19,NE,NE
673,BAMBD,MORRO_BRANCO_II,31.185,-9.84,-41.04,2022-08-23,2022-09-19,NE,NE
674,BAEMNN,MANINEIRO,13.8,-14.02,-42.68,2022-08-25,2022-09-19,NE,NE
675,BAESBU,SABIU,13.5,-14.02,-42.66,2022-08-25,2022-09-19,NE,NE
676,BAEUMB,UMBUZEIRO,18.9,-13.98,-42.67,2022-08-25,2022-09-19,NE,NE
677,BAJA15,VENTOS_DE_SAO_JANUAR,72.0,-11.08,-41.27,2022-09-01,2023-01-05,NE,NE
678,PIVI05,VENTOS_DE_SANTO_ALDE,39.6,-8.0416,-40.6663,2022-09-02,2022-09-19,NE,NE
679,BAEMLG,MULUNGU,13.5,-14.0055,-42.667,2022-09-03,2022-09-19,NE,NE
680,BAEQUN,QUINA,10.8,-13.9808,-42.6788,2022-09-06,2022-09-19,NE,NE
681,PIOI08,OITIS_08,49.5,-9.0982,-41.7609,2022-09-14,2022-09-19,NE,NE
682,BAB15,BARAUNAS_XV,48.51,-9.75,-40.98,2022-09-17,2022-10-20,NE,NE
683,PIVI04,VENTOS_DE_SAO_CIRIAC,48.4,-8.0469,-40.6841,2022-09-21,2022-10-20,NE,NE
684,PIOI02,OITIS_2,27.5,-9.01,-41.73,2022-09-22,2022-10-20,NE,NE
685,PIVSR2,VENTOS_DE_SAO_ROQUE_,66.0,-8.8056,-41.6504,2022-09-30,2022-10-20,NE,NE
686,PIVSR5,VENTOS_DE_SAO_ROQUE_,49.5,-8.8264,-41.6269,2022-10-01,2022-10-20,NE,NE
687,PIOI03,OITIS_3,49.5,-9.01,-41.75,2022-10-04,2022-10-20,NE,NE
688,PIVI03,VENTOS_DE_SAO_CRISPI,48.4,-8.0355,-40.6761,2022-10-06,2022-10-20,NE,NE
689,PIVSR4,VENTOS_DE_SAO_ROQUE_,49.5,-8.9352,-41.6045,2022-10-08,2022-10-20,NE,NE
690,PIVSR6,VENTOS_DE_SAO_ROQUE_,49.5,-8.8998,-41.5911,2022-10-08,2022-10-20,NE,NE
691,PIVSR1,VENTOS_DE_SAO_ROQUE_,49.5,-8.7646,-41.6575,2022-10-11,2022-10-20,NE,NE
692,BAEA46,ASSURUÁ_4_VI,36.0,-11.0661,-42.603,2022-10-12,2022-10-20,NE,NE
693,RNEJD4,JANDAIRA_IV,27.72,-5.45,-36.01,2022-10-15,2022-11-07,NE,NE
694,PIVI02,VENTOS_DE_SAO_CIRO,35.2,-8.0347,-40.7405,2022-10-15,2022-10-20,NE,NE
695,RNEJD2,JANDAIRA_II,24.255,-5.43,-36.02,2022-10-18,2022-11-07,NE,NE
696,PIOI04,OITIS_4,49.5,-9.02,-41.75,2022-10-21,2022-11-07,NE,NE
697,BAEJUA,JUAZEIRO,18.9,-13.84,-42.69,2022-10-22,2022-11-07,NE,NE
698,BAEJAT,JATAI,16.2,-13.83,-42.69,2022-10-25,2022-11-07,NE,NE
699,BABAQ,BARAUNAS_IV,41.58,-9.67,-41.11,2022-10-27,2022-11-07,NE,NE
700,BAECED,CEDRO,12.0,-14.33,-42.57,2022-10-27,2022-11-07,NE,NE
701,PIVI01,VENTOS_DE_SAO_CAIO,35.2,-7.9955,-40.7694,2022-10-28,2022-11-07,NE,NE
702,BAEAMC,AMESCLA,13.5,-11.1153,-42.6699,2022-11-01,2022-11-23,NE,NE
703,PIVSR8,VENTOS_DE_SAO_ROQUE_,49.5,-8.9155,-41.5576,2022-11-02,2022-11-23,NE,NE
704,CEEGRV,GRAVIER,71.4,-4.755,-37.3361,2022-11-04,2022-11-23,NE,NE
705,RNEJD3,JANDAIRA_III,27.72,-5.43,-36.01,2022-11-04,2022-11-23,NE,NE
706,BAEA41,ASSURUÁ_4_I,36.0,-11.0253,-42.641,2022-11-10,2022-11-23,NE,NE
707,BAJA16,VENTOS_DE_SAO_JANUAR,72.0,-11.1,-41.28,2022-11-17,2022-11-23,NE,NE
708,RNEJD1,JANDAIRA_I,10.395,-5.4199,-36.0166,2022-11-18,2022-11-23,NE,NE
709,PIVSR3,VENTOS_DE_SAO_ROQUE_,49.5,-8.8299,-41.5908,2022-11-22,2022-12-06,NE,NE
710,BAEPDA,PAU_D_AGUA,18.0,-14.5356,-42.5758,2022-11-24,2023-01-05,NE,NE
711,BAEBAB,BARBATIMAO,16.2,-13.8266,-42.7043,2022-11-24,2022-12-06,NE,NE
712,BAEIBM,IMBURANA_MACHO,16.2,-13.8636,-42.6909,2022-12-07,2022-12-14,NE,NE
713,BAJA17,VENTOS_DE_SAO_JANUAR,72.0,-11.13,-41.29,2022-12-09,2022-12-14,NE,NE
714,BAJA18,VENTOS_DE_SAO_JANUAR,72.0,-11.13,-41.3,2022-12-17,2023-01-05,NE,NE
715,BAVE07,VENTOS_DE_SANTA_EUGE,17.1,-11.38,-42.18,2022-12-22,2023-01-05,NE,NE
716,BAVE02,VENTOS_DE_SANTA_EUGE,11.4,-11.37,-42.18,2022-12-23,2023-01-05,NE,NE
717,PBSS06,SERRA_DO_SERIDO_VI,44.0,-6.9731,-36.8014,2022-12-27,2023-01-05,NE,NE
718,BAEA43,ASSURUÁ_4_III,36.0,-11.0603,-42.6306,2022-12-28,2023-01-05,NE,NE
